No.,Lims No.,物质名称(英文),物质名称(中文),EC 号码,CAS 号码,可能用途
137,110,Lead dinitrate,硝酸铅,233-245-9,10099-74-8,用作染料工业中的氧化剂; 用于在纸上的涂层(用于光热照相); 用作尼龙的热稳定剂; 用作聚酯的酯化催化剂; 用作染色及印刷纺织品的酶染剂; 用于制造火柴和特殊炸药
138,65,Lead dipicrate,苦味酸铅,229-335-2,6477-64-1,没有苦味酸铅的注册信息提交至ECHA; 该物质是爆炸物（如铅叠氮化物和斯蒂芬酸铅）; 它可连同两个上述铅化合物少量用于炸药的混合物
139,12,Lead hydrogen arsenate,酸式砷酸铅,232-064-2,7784-40-9,以前用作杀虫剂
140,111,Lead monoxide (Lead oxide),一氧化铅(黄丹),215-267-0,1317-36-8,"用于车用铅基电池; 用于清漆; 用于喷涂瓷器、玻璃、铅玻璃和餐具的釉;
用作橡胶的颜料，用作橡胶和塑料的硫化剂; 用于着色含硫物质，例如，毛发、指甲、羊毛、角; 用于电容器、电子板、换能器、铁磁与铁磁材料的生产"
141,104,Lead oxide sulfate,碱式硫酸铅,234-853-7,12036-76-9,用于PVC加工;用于在铅稳定剂的塑料材料作为建筑物的内部结构部件
142,66,Lead styphnate,"2,4,6-三硝基苯二酚铅",239-290-0,15245-44-0,主要用作小口径步枪和弹药得引物。其他常见的用途是用于烟火弹药，火药驱动装置和民用炸药
143,26,Lead sulfochromate yellow (C.I. Pigment Yellow 34),铅铬黄（CI颜料黄34）,215-693-7,1344-37-2,用作着色、油漆和涂层剂，用于橡胶，塑料，涂料，涂层和清漆
144,113,Lead titanium trioxide,钛酸铅,235-038-9,12060-00-3,用于生产电脑、电子及光学产品、电子设备
145,114,Lead Titanium Zirconium Oxide,钛酸铅锆,235-727-4,12626-81-2,"用于制造机电元件,电子陶瓷元件, 压电陶瓷"
146,76,Lead(II) bis(methanesulfonate),甲基磺酸铅,401-750-5,17570-76-2,主要用于电镀工艺（包括电解及电解）在电子元件（如印刷电路板)
147,,Methoxyacetic acid,甲氧基乙酸,210-894-6,625-45-6,用于各种清洁应用如洗涤剂、清洁和洗涤剂，例如地板/墙壁/工业区使用的洗涤剂、用于清洁车轮和轮胎的产品; 它也可用于pH值调节剂、防腐蚀产品和空气清新剂; 作为生产杀生物剂的原料。还用作燃料添加剂
148,,Methyloxirane (Propylene oxide),环氧丙烷,200-879-2,75-56-9,用于生产聚合物，表面活性剂，染色助剂，化妆品，个人护理产品；用于粘合剂，密封剂，涂料，油漆，稀释剂，脱漆剂，防冻剂和除冰产品，填料，腻子，石膏，粘土，指画颜料，润滑剂，抛光剂和混合蜡；燃料；原油破乳剂
149,,"N,N,N',N'-tetramethyl-4,4'-methylenedianiline (Michler’s base)","4,4'-（对二甲氨基）二苯基甲烷（米氏碱）",202-959-2,101-61-1,用作生产染料和其他物质的的中间体
150,,"N,N-dimethylacetamide","N,N-二甲基乙酰胺",204-826-4,127-19-5,用作溶剂，主要是在生产服装和其它应用的纤维; 也用作试剂，并存在产品，如工业涂料、聚酰亚胺薄膜、脱漆剂和油墨清洗剂 
151,,"N,N-dimethylformamide","N,N-二甲基甲酰胺",200-679-5,1968/12/2,用作涂料、胶粘剂、胶水、溶剂、墨水、染料、涂料、清漆、粘合剂;  用在生产聚氨酯合成革、聚丙烯腈、聚氨酯和聚氯乙烯(PVC)、弹性体、服装纤维; 也可用于布料清洗剂;  有机化学用作试剂和催化剂; 此外还可用于生产印刷电路板(PCB)，电分配设备
152,,Nitrobenzene,硝基苯,202-716-0,98-95-3,"主要用于生产其他的化学物质;
存在于印刷产业的复印试剂;
用于制剂的制备，用作加工助剂及溶剂。"
153,,N-methylacetamide,N-甲基乙酰胺 ,201-182-6,79-16-3,用于化学品的生产；用作实验室用化学品
154,,Nonadecaflurodecanoic acid (PFDA) and its sodium and ammonium salts,全氟癸酸 (PFDA) 及其钠盐和铵盐,"206-400-3,
-,
221-470-5","335-76-2,
3830-45-3,
3108-42-7","用作增塑剂，润滑剂，表面活性剂，润湿剂和阻蚀剂；
可存在于纳米喷雾和浸渍喷雾，户外纺织品，地毯，手套，纸质食品接触材料和雪蜡中。"
155,,N-pentyl-isopentylphthalate,邻苯二甲酸正戊基异戊基酯,-,776297-69-9,增塑剂
156,,o-aminoazotoluene,邻氨基偶氮甲苯,202-591-2,97-56-3,用于制造染料; 被REACH附录17 条目43所管控，限制纺织品和皮革使用能释放出该芳香胺的偶氮染料
157,,Octamethylcyclotetrasiloxane (D4),八甲基环四硅氧烷 (D4),209-136-7,556-67-2,"此物质通常不是有意生产，而是作为其它物质的成分或杂质存在。
它是一种多环芳烃，可作为杂质存在于塑胶，颜料，涂料和胶黏剂中。"
