"工作表导出位置: C:\Users\Admin\Documents\Agilent\ICP Expert\My Results\20181123-1 ICP-Heavy Metal-Fe-FACT.esws"
""
"标签","类型","日期时间","元素","元素标签","标记","未计算的数据","浓度","单位","强度","浓度 SD","浓度 %RSD","强度 SD","强度 %RSD","重量","体积","稀释系数","内标","LIMS ID","自定义","自定义参比","采样日期时间","采样地点","说明","重复项","浓度 重复项 1","浓度 重复项 2","浓度 重复项 3","强度 重复项 1","强度 重复项 2","强度 重复项 3","标记 重复项 1","标记 重复项 2","标记 重复项 3"
"STD BLK","空白","2018/11/23 13:10:15","Sr 460.733","Sr(ref)","","0.00","0.00","ppm","157.05","-","-","51.92","33.06","-","-","-","-","","","","","","","3","0.00","0.00","0.00","212.89","148.03","110.23","","",""
"STD BLK","空白","2018/11/23 13:10:15","Y 324.228","Y","","1.00000","1.00000","比值","77999.48943","0.00000","0.00000","801.19655","1.03","-","-","-","-","","","","","","","3","1.00000","1.00000","1.00000","78302.21498","77091.03760","78605.21570","","",""
"STD BLK","空白","2018/11/23 13:10:15","Y 360.074","Y","","1.00000","1.00000","比值","144959.72803","0.00000","0.00000","419.11578","0.29","-","-","-","-","","","","","","","3","1.00000","1.00000","1.00000","145182.48086","144476.27109","145220.43213","","",""
"STD BLK","空白","2018/11/23 13:10:15","Y 371.029","Y","","1.00000","1.00000","比值","93264.40568","0.00000","0.00000","291.01017","0.31","-","-","-","-","","","","","","","3","1.00000","1.00000","1.00000","93295.85591","92958.94779","93538.41334","","",""
"STD BLK","空白","2018/11/23 13:10:15","Zn 202.548","Zn","","0.00","0.00","ppm","131.27","-","-","10.17","7.75","-","-","-","-","","","","","","","3","0.00","0.00","0.00","127.70","123.36","142.75","","",""
"STD BLK","空白","2018/11/23 13:10:15","Zn 206.200","Zn(ref)","","0.00000","0.00000","ppm","22.72584","-","-","10.44563","45.96","-","-","-","Y (371.029 nm)","","","","","","","3","0.00000","0.00000","0.00000","27.70399","10.72232","29.75120","","",""
"STD BLK","空白","2018/11/23 13:10:15","Zr 339.198","Zr","","0.00","0.00","ppm","46.72","-","-","13.72","29.36","-","-","-","-","","","","","","","3","0.00","0.00","0.00","31.21","57.25","51.71","","",""
"STD BLK","空白","2018/11/23 13:10:15","Zr 343.823","Zr(ref)","","0.00","0.00","ppm","62.98","-","-","7.79","12.37","-","-","-","-","","","","","","","3","0.00","0.00","0.00","71.35","61.67","55.93","","",""
"STD BLK","空白","2018/11/23 13:10:15","Zr 349.619","Zr(ref)","","0.00","0.00","ppm","4651.38","-","-","26.35","0.57","-","-","-","-","","","","","","","3","0.00","0.00","0.00","4657.13","4674.38","4622.62","","",""
"STD 0.04","标样","2018/11/23 13:10:51","Al 396.152","Al","","0.04000","0.04000","ppm","2387.76654","-","-","12.41432","0.52","-","-","-","-","","","","","","","3","0.04000","0.04000","0.04000","2401.98946","2382.20313","2379.10702","","",""
"STD 0.04","标样","2018/11/23 13:10:51","Al 394.401","Al(ref)","","0.04000","0.04000","ppm","1117.76395","-","-","49.10933","4.39","-","-","-","-","","","","","","","3","0.04000","0.04000","0.04000","1104.84976","1076.40218","1172.03992","","",""
"STD 0.04","标样","2018/11/23 13:10:51","As 188.980","As","","0.04000","0.04000","ppm","43.22163","-","-","6.23187","14.42","-","-","-","-","","","","","","","3","0.04000","0.04000","0.04000","36.49681","44.36619","48.80188","","",""
"STD 0.04","标样","2018/11/23 13:10:51","As 193.696","As(ref)","","0.04000","0.04000","ppm","39.28637","-","-","7.65899","19.50","-","-","-","-","","","","","","","3","0.04000","0.04000","0.04000","34.75411","34.97572","48.12929","","",""
"STD 0.04","标样","2018/11/23 13:10:51","As 197.198","As(ref)","","0.04000","0.04000","ppm","27.21984","-","-","17.27158","63.45","-","-","-","-","","","","","","","3","0.04000","0.04000","0.04000","47.15880","17.61897","16.88177","","",""
"STD 0.04","标样","2018/11/23 13:10:51","As 234.984","As(ref)","","0.04000","0.04000","ppm","77.56298","-","-","18.00771","23.22","-","-","-","-","","","","","","","3","0.04000","0.04000","0.04000","80.70635","93.79205","58.19053","","",""
"STD 0.04","标样","2018/11/23 13:10:51","Ba 233.527","Ba","","0.04000","0.04000","ppm","1760.51725","-","-","18.24398","1.04","-","-","-","-","","","","","","","3","0.04000","0.04000","0.04000","1768.46341","1739.64782","1773.44052","","",""
"STD 0.04","标样","2018/11/23 13:10:51","Ba 230.424","Ba(ref)","","0.04000","0.04000","ppm","1104.79460","-","-","18.98495","1.72","-","-","-","-","","","","","","","3","0.04000","0.04000","0.04000","1100.19603","1088.53134","1125.65643","","",""
"STD 0.04","标样","2018/11/23 13:10:51","Ba 493.408","Ba(ref)","","0.04000","0.04000","ppm","41786.76817","-","-","154.41766","0.37","-","-","-","-","","","","","","","3","0.04000","0.04000","0.04000","41922.48644","41618.75801","41819.06007","","",""
"STD 0.04","标样","2018/11/23 13:10:51","Ba 614.171","Ba(ref)","","0.04000","0.04000","ppm","26780.06264","-","-","175.42857","0.66","-","-","-","-","","","","","","","3","0.04000","0.04000","0.04000","26967.85397","26620.39468","26751.93926","","",""
"STD 0.04","标样","2018/11/23 13:10:51","Cd 228.802","Cd","","0.04000","0.04000","ppm","729.84950","-","-","6.25213","0.86","-","-","-","-","","","","","","","3","0.04000","0.04000","0.04000","724.40725","736.67861","728.46264","","",""
"STD 0.04","标样","2018/11/23 13:10:51","Cd 214.439","Cd(ref)","","0.04000","0.04000","ppm","630.25305","-","-","19.19208","3.05","-","-","-","-","","","","","","","3","0.04000","0.04000","0.04000","608.14172","642.59434","640.02309","","",""
"STD 0.04","标样","2018/11/23 13:10:51","Cd 226.502","Cd(ref)","","0.04000","0.04000","ppm","837.03505","-","-","14.47545","1.73","-","-","-","-","","","","","","","3","0.04000","0.04000","0.04000","844.27562","846.46157","820.36795","","",""
"STD 0.04","标样","2018/11/23 13:10:51","Cd 326.105","Cd(ref)","","0.04000","0.04000","ppm","293.90438","-","-","37.01847","12.60","-","-","-","-","","","","","","","3","0.04000","0.04000","0.04000","297.20550","329.16173","255.34591","","",""
"STD 0.04","标样","2018/11/23 13:10:51","Cd 508.582","Cd(ref)","","0.04000","0.04000","ppm","16.86475","-","-","15.94675","94.56","-","-","-","-","","","","","","","3","0.04000","0.04000","0.04000","9.42405","35.17194","5.99826","","",""
"STD 0.04","标样","2018/11/23 13:10:51","Co 237.863","Co","","0.04000","0.04000","ppm","256.70839","-","-","6.70746","2.61","-","-","-","-","","","","","","","3","0.04000","0.04000","0.04000","262.68816","249.45566","257.98135","","",""
"STD 0.04","标样","2018/11/23 13:10:51","Co 228.615","Co(ref)","","0.04000","0.04000","ppm","427.48011","-","-","9.27907","2.17","-","-","-","-","","","","","","","3","0.04000","0.04000","0.04000","424.55764","437.86859","420.01412","","",""
